Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
ABRAZADERA SIN FIN 08 5/8 A 1ANBEC,ASF08,7506069000867,ANBEC,0.0,10.2,Pieza,10.2,100.0
ABRAZADERA SIN FIN 28 1-1/2 A 2-1/4  ACERO INOX ANBEC,AAI28,7506069057632,ANBEC,0.0,13.0,Pieza,13.0,100.0
ABRAZADERA SIN FIN NUM 04 3/8 A 5/8 ANBEC,ASF04,7506069000843,ANBEC,0.0,3.6,Pieza,3.6,100.0
ABRAZADERA SIN FIN NUM 06 7/16 A 3/4 ACERO INOX ANBEC,AAI06,7506069000966,ANBEC,0.0,5.7,Pieza,5.7,100.0
ABRAZADERA SIN FIN NUM 08 5/8 A 1 100 ACERO INOX ANBEC,AAI08,7506069000973,ANBEC,0.0,11.0,Pieza,11.0,100.0
ABRAZADERA SIN FIN NUM 10 9/16 A 11/16 ACERO INOX ANBEC,AAI10,7506069000980,ANBEC,0.0,11.0,Pieza,11.0,100.0
ABRAZADERA SIN FIN NUM 12 1/2 A 1-1/4 ACERO INOX ANBEC,AAI12,7506069000997,ANBEC,0.0,11.5,Pieza,11.5,100.0
ABRAZADERA SIN FIN NUM 16 13/16 A 1-1/2 ACERO INOX ANBEC,AAI16,7506069001000,ANBEC,0.0,12.0,Pieza,12.0,100.0
ABRAZADERA SIN FIN NUM 96 5-5/8 A 6-1/2 ACERO INOX ANBEC,AAI96,7506069001130,ANBEC,0.0,23.0,Pieza,23.0,100.0
ABRAZADERA SIN FIN NUM04 3/8 A 5/8 ACERO INOX ANBEC,AAI04,7506069000959,ANBEC,0.0,5.7,Pieza,5.7,100.0
ABRAZADERA SIN FIN No 10 9/16 A 1 1/16 ANBEC,ASF10,7506069000874,ANBEC,0.0,10.2,Pieza,10.2,100.0
ABRAZADERA TIPO UNA GALVANIZADA 1,12-007-1,,EL TORNILLO,0.0,10.0,Pieza,10.0,100.0
ABRAZADERA UNICANAL P-TUBERIA 13-25 MM,,,All,0.0,5.88,Pieza,5.88,100.0
ABRAZADERA UÑA GALVANIZADA 1 1/2 STROM,AU112,7506069001253,ANBEC,0.0,5.3,Pieza,5.3,100.0
ABRAZADERA UÑA GALVANIZADA 1 1/4 STROM,AU114,7506069001246,ANBEC,0.0,5.1,Pieza,5.1,100.0
ABRAZADERA UÑA GALVANIZADA 1 STROM,AU1,7506069001239,ANBEC,0.0,3.9,Pieza,3.9,100.0
ABRAZADERA UÑA GALVANIZADA 1/2 STROM,AU12,7506069001215,ANBEC,0.0,1.7,Pieza,1.7,100.0
ABRAZADERA UÑA GALVANIZADA 2 STROM,AU2,7506069001260,ANBEC,0.0,7.4,Pieza,7.4,100.0
ABRAZADERA UÑA GALVANIZADA 3/4 STROM,AU34,7506069001222,ANBEC,0.0,2.5,Pieza,2.5,100.0
ACCESORIO PARA BAÑO METALICO ACABADO NEGRO MATE 4PZAS,ABAC1405,7506069073984,ANBEC,0.0,1650.0,Pieza,1650.0,100.0
ACEITE LUBRICANTE PARA AIRE ZOOM 118 ML EZ-FLO MYPAT COOLER,AL5519,10026529571408,ANBEC,0.0,98.0,Pieza,98.0,100.0
ACEITERA 180ML FLEXIBLE 6 OZ  TRUEPOWER,TPA502,7506069036712,ANBEC,0.0,91.0,Pieza,91.0,100.0
ACEITERA 300 ML FLEXIBLE 10 OZ  TRUEPOWER,TPA503,7506069036729,ANBEC,0.0,103.0,Pieza,103.0,100.0
ACEITERA 500ML FLEXIBLE 16 OZ  TRUEPOWER,TPA504,7506069053306,ANBEC,0.0,116.0,Pieza,116.0,100.0
ACOPLADOR PARA REMOLQUE 1 7/8 X 2 1/2 2000 LBS TRUEPOWER,TPTC2000M,7506069056970,ANBEC,0.0,306.0,Pieza,306.0,100.0
ACOPLADOR PARA REMOLQUE 2 5000 LBS USO PESADO TRUEPOWER,TPCR454,7506069039348,ANBEC,0.0,641.0,Pieza,641.0,100.0
ACOPLADOR PARA REMOLQUE 2 X 2 1/2 3500 LBS TRUEPOWER,TPTC3500M,7506069008511,ANBEC,0.0,431.0,Pieza,431.0,100.0
ACOPLADOR PARA REMOLQUE 2 X 3 3500 LBS TRUEPOWER,TPTC3500L,7506069038556,ANBEC,0.0,448.0,Pieza,448.0,100.0
ADAPTADOR 1/2 X 1/2 X 1/4 CROMADA MYPAT COOLER,VS1212,7506069034206,ANBEC,0.0,211.0,Pieza,211.0,100.0
ADAPTADOR CPVC ROSCA EXT 1 ANBEC,ARECPVC1,7506069008054,ANBEC,0.0,8.6,Pieza,8.6,100.0
ADAPTADOR CPVC ROSCA EXT 1-1/2 ANBEC,ARECPVC112,,ANBEC,0.0,26.4,Pieza,26.4,100.0
ADAPTADOR CPVC ROSCA EXT 1-1/4 ANBEC,ARECPVC114,7506069019791,ANBEC,0.0,18.5,Pieza,18.5,100.0
ADAPTADOR CPVC ROSCA EXT 1/2 ANBEC,ARECPVC12,,ANBEC,0.0,3.6,Pieza,3.6,100.0
ADAPTADOR CPVC ROSCA EXT 2 ANBEC,ARECPVC2,7506069019814,ANBEC,0.0,52.9,Pieza,52.9,100.0
ADAPTADOR CPVC ROSCA EXT 3/4 ANBEC,ARECPVC34,,ANBEC,0.0,4.7,Pieza,4.7,100.0
ADAPTADOR CPVC ROSCA EXT INSERTO BRONCE 1 ANBEC,AREBCPVC1,7506069008085,ANBEC,0.0,119.0,Pieza,119.0,100.0
ADAPTADOR CPVC ROSCA EXT INSERTO BRONCE 1/2 ANBEC,AREBCPVC12,7506069008061,ANBEC,0.0,50.4,Pieza,50.4,100.0
ADAPTADOR CPVC ROSCA EXT INSERTO BRONCE 3/4 ANBEC,AREBCPVC34,7506069008078,ANBEC,0.0,64.6,Pieza,64.6,100.0
ADAPTADOR CPVC ROSCA EXT INSERTO BRONCE 3/4 X 1/2 ANBEC,AREBCPVC3412,7506069008092,ANBEC,0.0,55.5,Pieza,55.5,100.0
