"Nombre","Referencia interna","Código de barras","Categoría de producto","Coste","Precio de venta","Unidad SAT"
"Dispensador de jabón, satinado, Riviera","RIA-75DIN","7506240631385","limsa","95.0","145.0","Pieza"
"Dispensador de jabón, satinado, línea Element","ELA-75DIN","7506240630876","limsa","88.0","135.0","Pieza"
"Dispensador jabón p/LAVA-1600T y 2000T","SOAP-LAVAS","7506240653202","Truper","155.0","249.0","Pieza"
"Divisor coaxial de 1 entrada y 2 salidas","DICO-12","7501206698785","Volteck","9.99","18.0","Pieza"
"Divisor coaxial de 1 entrada y 3 salidas","DICO-13","7501206698792","Volteck","11.0","16.0","Pieza"
"Divisor coaxial de 1 entrada y 4 salidas","DICO-14","7501206698808","Volteck","13.0","20.0","Pieza"
"Doblador de tubo conduit, hasta 1'","DOTU-75100","7501206628454","Truper","475.0","765.0","Pieza"
"Doblador de tubo conduit, hasta 1/2'","DOTU-50","7501206628430","Truper","165.0","249.0","Pieza"
"Doblador de tubo conduit, hasta 3/4'","DOTU-5075","7501206628447","Truper","295.0","465.0","Pieza"
"Doblador de tubo hidráulico, 12 toneladas","DTH-12","7501206622803","Truper","4250.0","5950.0","Pieza"
"Doblador de tubo hidráulico, 12 toneladas, horizontal","DTH-12X","7501206654880","Truper","7250.0","10150.0","Pieza"
"Doblador de tubo hidráulico, 16 toneladas","DTH-16","7501206622810","Truper","6450.0","9050.0","Pieza"
"Dominó Truper","DOM-TR","7501206672419","Truper","715.0","855.0","Pieza"
"Ducto cuadrado embis 15x15cm L=1.52M","","","All","0.0","2846.0","Pieza"
"Duo de desarmadores 1/4x4 mango comfort grip","DUO-1/4X4B","7506240658818","Truper","69.0","105.0","Pieza"
"Duo de desarmadores 3/16x4 mango comfort grip","DUO-3/16X4B","7506240658825","Truper","59.0","88.0","Pieza"
"Duo de desarmadores, 1/4x4, mango Comfort Grip, Pretul","DUO-1/4X4BP","7501206664476","Pretul","43.0","64.0","Pieza"
"Duo de desarmadores, 1/4x4, mango PVC, Pretul","DUO-1/4X4TP","7501206664421","Pretul","46.0","69.0","Pieza"
"Duo de desarmadores, 3/16x4, mango Comfort Grip, Pretul","DUO-3/16X4BP","7501206664483","Pretul","38.0","57.0","Pieza"
"Duo de desarmadores, 3/16x4, mango PVC, Pretul","DUO-3/16X4TP","7501206664438","Pretul","38.0","57.0","Pieza"
"Duplicadora de 10 tipos de llaves, tipo torno","DUP-310","7506240651598","Hermex","29500.0","41500.0","Pieza"
"Duplicadora de 8 tipos de llaves, tipo taladro","DUP-410","7506240651604","Hermex","27500.0","38500.0","Pieza"
"Duplicadora de llaves, 6 tipos","DUP-200","7501206680957","Hermex","9750.0","13650.0","Pieza"
"E X TENSION CON IMAN 1/4 10 PIEZAS  PEM1/4 SURTEK","PEM1/4","660731104356","SURTEK","85.0","123.0","Pieza"
"EASY OFF PASTA 238 GR.","8289","7501058770110","ABRAMEX","65.12","94.0","Pieza"
"EASY OFF PASTA 476 GR.","CLM","7501058770134","ABRAMEX","72.45","105.0","Pieza"
"EASY PRESS","","","LIMSA","0.0","700.0","Pieza"
"EKON JGO. ENSAM C/MANE-CHAP ESTRELLA 60602","60602","701394606020","METALFLU","252.0","390.0","Pieza"
"EKON MEZCLADORA COCINA CUELLO SPRAY CUER","","","METALFLU","341.5","478.0","Pieza"
"EL DORADO PVC","MGDORADOPVC","7501315695064","MG","18.0","28.0","Pieza"
"ELECTRODO 1/8 (7018)  E7018-1/8 SURTEK","E7018-1/8","660731180169","SURTEK","54.0","78.0","Pieza"
"ELECTRODO 1/8"" (6013) E6013-1/8 SURTEK","E6013-1/8","660731180145","SURTEK","54.0","78.0","Pieza"
"ELECTRODO 3/32 (6013)  E6013-3/32 SURTEK","E6013-3/32","660731180138","SURTEK","54.0","78.0","Pieza"
"ELECTRODO 3/32"" INOXIDABLE","6226","660731627626","URREA","35384.770000000004","51308.0","Pieza"
"ELECTRODO 5/32 (7018)  E7018-5/32 SURTEK","E7018-5/32","660731180176","SURTEK","54.0","78.0","Pieza"
"ELECTRODO 6013 1/8 KG TRUEPOWER","TPE1151","7506069050350","ANBEC","0.0","74.0","Pieza"
"ELECTRODO 6013 3/32 KG TRUEPOWER","TPE1150","7506069050343","ANBEC","0.0","74.0","Pieza"
"ELECTRODO 6013 5/32 KG TRUEPOWER","TPE1152","7506069050367","ANBEC","0.0","74.0","Pieza"
"ELIMINADOR BATERIAS 1.5-12 V 1000MA","8585","","ABRAMEX","154.45000000000002","224.0","Pieza"
"ELIMINADOR BATERIAS 3-12 V. 300 MA","8586","","ABRAMEX","106.46000000000001","154.0","Pieza"
"ELIMINADOR BATERIAS 3-12 V. 500 MA.","8587","","ABRAMEX","122.19","177.0","Pieza"
"ELIMINADOR DE SALES PARA AIRE ACONDICIONADO DIAL MYPAT COOLER","ES5284","10026529528402","ANBEC","0.0","195.0","Pieza"
"ELP CESPOL FEGADERO BOTE GDE CF-13 PVC C/ CONTRA CANASTA METALICA","","","LIMSA","185.66","240.0","Pieza"
"ELP CESPOL FREGADER BOTE GDE CF-01PVC S/CONTRA 50CM.  ELPRO","elpcfrsc","","LIMSA","42.75","60.0","Pieza"
