Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
ALAN VALVULA 1/2,MGVALVALAN12,,All,92.68,129.75,Pieza,37.06999999999999,28.57032755298651
ALCAYATA VARILLA 3/8,MGALCA10,,All,5.0,15.0,Pieza,10.0,66.66666666666666
AMORTIGUADOR D/IMPACTO 1.83 M C/CABLE BA,,,All,1200.0,1560.0,Pieza,360.0,23.07692307692308
ANGULO DE AMARRE 3.05 CAL.26,,,All,0.0,45.4,Pieza,45.4,100.0
ANTICONGELANTE LPU (33%) 1.0 LT AKRON,,785639120410,All,43.34,57.0,Pieza,13.659999999999997,23.964912280701743
APAGADOR SENCILLO MARCA LEVITON 100,MGLEVITONAPAG,,All,0.0,116.14,Pieza,116.14,100.0
APAGADOR SENCILLO MODUS MARFIL,,,All,35.0,51.0,Pieza,16.0,31.37254901960784
APLICACIÓN DE AISLANTE TERMICO DE POLIURETANO CON RETARDANTE A LA FLAMA EN EXTERIOR DE TECHO DE LAMINA ACANALADA CON UN ESPESOR DE 1”,,,All,0.0,354.9,M2,354.9,100.0
APLICACIÓN DE IMPERMEABILIZANTE ACRILICO COLOR TERRACOTA INCLUYE.:  APLICACIÓN DE SELLO ACRILICO EN TODA EL AREA. APLICACIÓN DE PRIMER CAPA DE IMPERMEABILIZANTE ACRILICO ROJO.  APLICACIÓN DE SEGUNDA CAPA DE IMPERMEABILIZANTE ACRILICO ROJO.,,,All,0.0,143.0,M2,143.0,100.0
AQ CALENTADOR DE 15 TUBOS AQUASOL,,,All,3703.66,4720.0,Pieza,1016.34,21.532627118644072
ARMEX 12X30X4,,,All,230.0,285.0,Pieza,55.0,19.29824561403509
ARMEX 15-15-4 REFORZADO,,,All,280.0,375.0,Pieza,95.0,25.333333333333336
ARMEX 15-15-4 SENCILLO,,,All,0.0,245.0,Pieza,245.0,100.0
ARMEX 15-20-4 REFORZADO,,,All,280.0,375.0,Pieza,95.0,25.333333333333336
ARMEX 15-20-4 SENCILLO,,,All,172.0,245.0,Pieza,73.0,29.795918367346943
ARMEX 15-30-4 SENCILLO,,,All,207.0,245.0,Pieza,38.0,15.510204081632653
ARMEX 15X15-4 SENCILLO Tramo 6mts,MGARMEX15,,All,118.0,172.0,Pieza,54.0,31.3953488372093
ARMEX 15X20-4 1/4 PZA,,,All,133.0,188.5,Pieza,55.5,29.44297082228117
ARMEX 15X20-4 SENCILLO Tramo 6mts,MGCADENAARM,,All,118.0,172.0,Pieza,54.0,31.3953488372093
ARMEX 15X30X4,,,All,250.0,315.0,Pieza,65.0,20.634920634920636
ARMEX 15x20-4 T-2 PZA,,,All,236.0,306.8,Pieza,70.80000000000001,23.07692307692308
ARMEX REFORZADO 15X20-4,MGARMEXRF,,All,375.0,465.0,Pieza,90.0,19.35483870967742
ARNES CONTRA CAIDAS ANILLO D EN ESPALDA,,,All,930.0,1305.0,Pieza,375.0,28.735632183908045
ASIENTO PREMIUM ALARGADO,MGASIENTOALAR,,All,212.05,295.0,Pieza,82.94999999999999,28.118644067796605
ASIENTO PREMIUM ALARGADO BCO,,,All,0.0,304.0,Pieza,304.0,100.0
ASIENTO PREMIUM REDONDO,MGASIENTOPREM,,All,171.99,240.0,Pieza,68.00999999999999,28.3375
ATF DEXRON III/MERCON 0.946LT AKRON,,785639151742,All,105.55,135.0,Pieza,29.450000000000003,21.814814814814817
ATOMIZADOR INDUSTRIAL 1LT,MGATOMIN,,All,35.0,44.0,Pieza,9.0,20.454545454545457
AUDIFONOS BLUETOOTH SPORT BG079T,BG079T,4895174139016,All,0.0,185.0,Pieza,185.0,100.0
Abrazadera tipo 'U' GALV 1 1/2',,,All,0.0,10.0,Pieza,10.0,100.0
Abrazadera tipo 'U' GALV 1',,,All,0.0,8.0,Pieza,8.0,100.0
Abrazadera tipo 'U' GALV 1/2',,,All,0.0,5.0,Pieza,5.0,100.0
Abrazadera tipo 'U' GALV 2',,,All,0.0,12.0,Pieza,12.0,100.0
Abrazadera tipo 'U' GALV 3/4',,,All,0.0,6.0,Pieza,6.0,100.0
Alambre Multiuso Verde Dan O Line Hillman DE 3050 CM,,,All,296.1,315.0,Pieza,18.899999999999977,5.999999999999993
Anclaje Quimico 385ml cf 1000,ANQUFE,,All,1378.08,1994.04,Pieza,615.96,30.89005235602095
BANCO ALTO ACOLCHONADO,,,All,451.24,568.0,Pieza,116.76,20.55633802816901
BANDA DE LIJA 060 4X24 FANDELI,,,All,35.65,50.0,Pieza,14.35,28.700000000000003
BANDEJA ALTURA INTERIOR 66MM ANCHO 150MM GALVANIZADO ELECTROZINC (15-20 MICROMET,CHAROFIL,,All,498.74,700.0,Pieza,201.26,28.751428571428573
BARRA HUE15,,,All,11.0,15.0,Pieza,4.0,26.666666666666668
BARRA ROSCADA GALV POR 1 MT 1/4,,,All,0.0,20.0,Pieza,20.0,100.0
BASE COAT P.R. PROTEKTO PLUS SACO,,,All,634.91,793.0,Pieza,158.09000000000003,19.93568726355612
BASE CORTINERO MADERA JGO,BASMA1,,All,40.0,70.0,Pieza,30.0,42.85714285714285
"BE CUCHARA P/ALBAÑIL 10""MGO.BIMATERIAL",,7500372000217,All,237.73,335.0,Pieza,97.27,29.03582089552239
"BE CUCHARA PARA ALBAÑIL 6""",,7500372000095,All,186.0,250.0,Pieza,64.0,25.6
BE HACHA MICHIGAN 3.5 LBS C/MANGO,,7500372103628,All,420.0,550.0,Pieza,130.0,23.63636363636364
BE SEGUETA P/ ARCO 1/2 X 12 - 18 BIMET FLEXIBLE,4601-12.18,,All,16.53,23.0,Pieza,6.469999999999999,28.13043478260869
BE SEGUETA P/ ARCO 1/2 X 12 - 18 BIMET RIGIDA,4602-12.18,,All,16.53,23.0,Pieza,6.469999999999999,28.13043478260869
"BISAGRA INTEGRADA 60X38 (2 1/2""x1 1/2"")",,,All,120.0,150.0,Pieza,30.0,20.0
BLANCO ESPAÑA 25 KG,MGBESPAÑA,,All,190.0,230.0,Pieza,40.0,17.391304347826086
BLANCO ESPAÑA KG,,,All,0.0,15.0,Pieza,15.0,100.0
BLOCK PESADO 12-20-40,,,All,14.0,19.0,Pieza,5.0,26.31578947368421
BLOCK PESADO 20-20-40,,,All,0.0,20.0,Pieza,20.0,100.0
"BOCINA BLUETOOTH 3"" VA329PT",VA329PT,4895174137883,All,0.0,135.0,Pieza,135.0,100.0
BOLSA CON DOS EMPAQUES DE HULE PARA LLAVES DE JARDIN FOSET,REF-LLJ-03,7506240682738,All,3.0,6.0,Pieza,3.0,50.0
BOLSA NEGRA 90X120 1 PIEZA,,,All,0.0,9.0,Kilogramo,9.0,100.0
BOLSA NEGRA 90X60 1 PIEZA,BOLNE90X60,,All,0.0,6.0,Kilogramo,6.0,100.0
BOLSA NEGRA 90X60 KILO,BOLSA NEGRA 90X60,,All,69.73,98.0,Pieza,28.27,28.8469387755102
BOMBA PRESURIZADORA Z9S20245W,MGPRESURIZADOR,,All,3233.56,3294.7,Pieza,61.13999999999987,1.8557076516830024
BOMBA PRESURIZADORA ZPS15 120W,ALMBPR15,,All,1164.03,1550.0,Pieza,385.97,24.90129032258065
BOQUILLA CHAMPAGNE,BOQUILLA CHAMPAGNE,,All,95.0,120.0,Pieza,25.0,20.833333333333336
BOQUILLA CREST,MGCREST,,All,240.0,320.0,Pieza,80.0,25.0
BOQUILLA CREST 1KG,,,All,0.0,36.0,Pieza,36.0,100.0
BOTA HULE INDUSTRIAL TRUPER #28,,,All,0.0,432.0,Pieza,432.0,100.0
BOTE INTEGRAL  R-50 10 CM,,,All,26.35,37.0,Pieza,10.65,28.78378378378378
BOTE INTEGRAL 12 CM,MGBOTE12,,All,26.36,37.0,Pieza,10.64,28.75675675675676
BOTE INTEGRAL P-LAMPARAS SPOT 75WPLAFON 11.5 CM ALTO CONO GDE CAL30,,,All,28.15,35.0,Pieza,6.850000000000001,19.571428571428577
BOTE INTEGRAL R-50 8 CM,R-50,,All,26.36,37.0,Pieza,10.64,28.75675675675676
BOV. DENS.12 3X.63X.13,,,All,249.11,323.85,Pieza,74.74000000000001,23.07858576501467
BOV.D12 1.22X.63X.13,,,All,104.3,130.0,Pieza,25.700000000000003,19.769230769230774
BOV.D12 2.44X.63X.13,,,All,208.31,261.0,Pieza,52.69,20.18773946360153
BOV.D12 3.00X.63X.13,,,All,251.0,314.0,Pieza,63.0,20.063694267515924
BOVEDILLA 3.00 X 68 X 14 C/PATIN,,,All,279.99,375.0,Pieza,95.01,25.336
BOVEDILLA DE POLIESTIRENO 0.14*0.68*3.00,,,All,301.99,423.0,Pieza,121.01,28.60756501182033
BOVEDILLA DE POLIESTIRENO 15 X 64 X 300 CM,BOVEDILLAPOLI,,All,0.0,408.38,Pieza,408.38,100.0
BRAZO C/CHAPETON REDONDO CROMO39 CMS,,,All,177.0,222.0,Pieza,45.0,20.27027027027027
